group_ids	id	date	text
A01B	2024398461__1	1970-01-01	1. A composition comprising:(a) an RNA molecule comprising:(i) a reverse complement sequence of an insert sequence, wherein the reversecomplement sequence comprises (A) a sequence that is a reverse complementof an exogenous sequence encoding a polypeptide operably linked to (B) asequence that is a reverse complement of a promoter sequence, wherein thesequence that is a reverse complement of a promoter sequence is downstreamof the sequence that is a reverse complement of an exogenous sequenceencoding a polypeptide;(ii) a 5' homology arm and a 3' homology arm; and(iii) a sequence encoding a human ORF2p polypeptide, wherein the sequenceencoding a human ORF2p polypeptide is upstream of the 5' homology arm ordownstream of the 3' homology arm;(b) an endonuclease or a polynucleic acid sequence encoding the endonuclease; and(c) one or more guide RNA molecules or one or more polynucleic acids encoding theone or more guide RNA molecules, wherein the one or more guide RNA moleculescomprise a first guide RNA molecule and a second guide RNA molecule, whereinthe first guide RNA molecule comprises a sequence capable of hybridizing to afirst target sequence of genomic DNA of a target cell and the second guide RNAmolecule comprises a sequence capable of hybridizing to a second target sequenceof the genomic DNA of the target cell
A01B	2024413008__1	1970-01-01	1. Grinder (1) for rock material (MT) by electric discharge, said grinder (1) comprising: - a grinding chamber (2) comprising at least one side wall (3) defining an internal space (2A), an upper face (2B) through which the rock material (MT) is introduced and a lower face (2C) through which the grinded rock material (MT) is collected, - at least one first positioning element (21), made of an electrically insulating material, mounted in the internal space at the lower face of the chamber and positioned so as to form a first filtering space (EP1) for discharging grinded rock material (MT) through the lower face of the chamber (2), said at least one first positioning element (21) comprising on its upper surface, along the first filtering space, a support portion (PP1) configured to support rock material (MT), - at least one second positioning element (22), made of an electrically insulating material and whose dimensions are smaller than the dimensions of a first positioning element (21), each second positioning element (22) having a free edge (31A) and being mounted in the internal space (2A) above a first positioning element (21) so that said free edge (31A) delimits a second filtering space (EP2) extending above the support portion (PP1) of the first positioning element (21) located below and up to the first filtering space (EP1), the free edge (31A) of the second positioning element (22) and the support portion (PP1) of the first positioning element (21) located below thus making it possible to position rock material (MT) in said second filtering space (EP2), - at least one pair of electrodes comprising a first electrode (10) and a second electrode (31), arranged face to face on either side of the second filtering space (EP2), - at least one generator (40) configured to apply a voltage between the first electrode (10) and the at least one second electrode (31, 32, 33) so as to cause an electric discharge to grind the rock material elements (MT) positioned in the second filtering space (EP2) and thus allow at least a portion of the grinded rock material (MT) to pass into the first filtering space (EP1) to be collected
A01B	2024408462__1	1970-01-01	1. A composition comprising an siRNA that targets GPAM and when administered to a subjectin an effective amount decreases circulating cholesterol, apolipoprotein B, bilirubin, alanineaminotransferase, aspartate aminotransferase, or alkaline phosphatase in a subject, wherein the siRNAcomprises a modification pattern selected from the group consisting of 54S, 53S, 57S, 56S, 109S, 114S,52S, 60S, 61S, 55S, 56AS, 9AS, 57AS, 30AS, 58AS, 68AS, and 69AS
A01B	2025208612__1	1970-01-01	1. A membrane-based gas separation method, the method comprising:(a) introducing a feed stream, comprising a first component and a second component,into a first membrane stage comprising a first gas separation membrane that is morepermeable to the second component than the first component, the first gas separationmembrane separating the feed stream to form a first retentate stream and a first permeatestream that are each withdrawn from the first membrane stage, the first retentate streambeing enriched in the first component and the first permeate stream being enriched in thesecond component;(b) introducing the first retentate stream into a second membrane stage comprising asecond gas separation membrane that is more permeable to the second component thanthe first component, the second gas separation membrane separating the first retentatestream to form a second retentate stream and a second permeate stream that are eachwithdrawn from the second membrane stage, the second retentate stream being furtherenriched in the first component;(c) introducing the first permeate stream into a third membrane stage comprising athird gas separation membrane that is more permeable to the second component than thefirst component, the third gas separation membrane separating the first permeate streamto form a third retentate stream and a third permeate stream that are each withdrawn fromthe third membrane stage, the third permeate stream being further enriched in the secondcomponent;(d) introducing the third retentate stream into a fourth membrane stage comprising afourth gas separation membrane that is more permeable to the second component thanthe first component, the fourth gas separation membrane separating the third retentatestream to form a fourth retentate stream and fourth permeate stream that are eachwithdrawn from the fourth membrane stage;(e) introducing the fourth retentate stream as a sweep gas into the second membranestage; and(f) recycling the second permeate stream and the fourth permeate stream into thefeed stream
A01B	2024402602__1	1970-01-01	1. Combinations comprising5(a) substituted isoxazoline-carboxamides of the formula (I) or agrochemical acceptablesalts thereofO2X N O Z G3 NX 3 HR O1 2R R4 6(I)X X5X10 in whichG represents OR or NRRR¹ and R² each represent hydrogen;15R³ represents (C-C)-alkyl, (C-C)-cycloalkyl, (C-C)-alkenyl, (C-C)-alkinyl or(C-C)-alkoxy each optionally substitued "m" times by substituents from the groupconsisting of halogen, cyano, (C-C)-alkoxy and hydroxy;20 Rrepresents hydrogen,orrepresents (C-C)-alkyl, (C-C)-cycloalkyl, (C-C)-cycloalkyl-(C-C)-alky1,(C-C)-alkenyl, (Cs-C)-cycloalkenyl, (C-C)-alkylphenyl or (C-C)-alkinyl eachoptionally substitued "m" times by substituents from the group consisting of halogen,25 cyano, (C-C)-alkoxy, (C-C)-alkoxycarbonyl, hydroxy, S(O)R;R represents (C-C)-alkyl, (C-C)-alkenyl, (C-C)-cycloalkyl, benzyl, CON((C-C)-alkyl) or (C-C)-alkyl-C(O)-(C1-C)-alkyl each optionally substitued "m" times bysubstituents from the group consisting of halogen and cyano;30 -67-Patent 5O2X N O Z G3 NXR O1 2R4X5X10G1520 Ror25R30 - 68 -Roroptionally substitued "m" times by substituents from the group consisting of5 halogen, cyano und (C-C)-alkoxy;R, R(C-C)-alkyl, N((C-C)-alkyl), S(O)n R,or10 R and R15Z represents Z-1 to Z-8:Z-3 Z-4 Z-5Z-6 Z-7 Z-820X², X and X independently of one another represent hydrogen or fluorine;X³ and X independently of one another represent hydrogen, chlorine, cyano orfluorine;25 orrepresents (C-C)-alkyl, (C-C)-alkoxy each optionally substitued "m"times by substituents from the group consisting of fluorine or chlorine; Ror5R, Ror10 R and R15ZZ-3 Z-4 Z-5Z-7 Z-82025 or mrepresents 0, 1, 2, 3, 4 or 5;represents 0, 1 or 2;orepresents 0, 1 or 2;r5and10 Table 1CAS-RN/Common Publication(b) Structure NameNameethyl 3-{2-chloro-4-fluoro-5-[3-methyl- 1949837-17-5/ WO 2016/095768 A12,6-dioxo-4-(trifluoromethyl)-3,6-IsoxafenacilB1 dihydropyrimidin-1(2H)-yl|phenyl}-5-methyl-4,5-dihydro-1,2-oxazole-5-carboxylate3-[2-chloro-5-(3,5-dimethyl-2,6-dioxo- 2558200-03-4 WO 2021/143677 A14-sulfanylidene-1,3,5-triazinan-1-yl)-4-B2fluorophenyl]-5-methyl-4,5-dihydro-1,2-oxazole-5-carboxylic acidmethy1 2-{[(E)-{2-chloro-4-fluoro-5-[3- 2669111-31-1 WO 2021/139482 A1B33,6-dihydropyrimidin-1(2H)-yl|benzylidene}aminoJoxy}propanoatemethyl-(2R)-2-{[(E)-{2-chloro-4- 2759011-88-4/ WO 2021/139482 A1B4 (trifluoromethyl)-3,6-dihydropyrimidin-methyl-(2S)-2-{[(E)-{2-chloro-4- WO 2021/139482 A1B5 fluoro-5-[3-methyl-2,6-dioxo-4-(trifluoromethyl)-3,6-dihydropyrimidin- mor5and10CAS-RN/Common PublicationStructure Name1949837-17-5/ WO 2016/095768 A1B12558200-03-4 WO 2021/143677 A1B22669111-31-1 WO 2021/139482 A1B32759011-88-4/ WO 2021/139482 A1B4WO 2021/139482 A1B5 - - - 70 -CAS-RN/Common Publication(b)Name1(2H)-yl]benzylidene}aminoJoxy}propanoateDihydro-1,5-dimethyl-6-thioxo-3- 1258836-72-4/ WO 2010/145992 A1[2,2,7-trifluoro-3,4-dihydro-3-oxo-4-(2-B6 Trifludimoxazinpropyn-1-yl)-2H-1,4-benzoxazin-6-yl]-1,3,5-triazine-2,4(1H,3H)-dione1220411-29-9/ WO 2010/038953 A23-methyl-2,6-dioxo-4-(trifluoromethyl)- Tiafenacilmethyl 3-{2-chloro-4-fluoro-5-[3- 2669819-07-0 WO 2021/143677 A1methyl-2,6-dioxo-4-(trifluoromethyl)-3,6-dihydropyrimidin-1(2H)-B8thyl 3-{2-chloro-4-fluoro-5-[3-methyl- 2669819-12-7 WO 2021/143677 A1dihydropyrimidin-1(2H)-yl|phenyl}-methyl 3-{2-chloro-4-fluoro-5-[3- 2669821-71-8 WO 2021/143677 A1methyl-2,6-dioxo-4-(trifluoromethyl)-B103,6-dihydropyrimidin-1(2H)-yl|phenyl}-6-methyl-3a,4,5,6- CAS-RN/Common Publication1258836-72-4/ WO 2010/145992 A1B6 Trifludimoxazin1220411-29-9/ WO 2010/038953 A22669819-07-0 WO 2021/143677 A1B82669819-12-7 WO 2021/143677 A12669821-71-8 WO 2021/143677 A1B10 CAS-RN/Common PublicationStructure Name3000495-74-6 WO 2023/197899 A1B11carboxylic acidWO 2021/143677 A1dioxo-4-(trifluoromethyl)-3,6-B12dihydropyrimidin-1(2H)-yl]phenyl}-3a,4,5,6-tetrahydro-6aH-cyclopenta[d][1,2]oxazole-6a-2892260-46-5 WO 2023/285222 A1dihydropyrimidin-1(2H)-yl]-4-fluorophenoxy}pyridin-2-yl)oxy]acetate2892260-49-8 WO 2023/285222 A13-methyl-2,6-dioxo-3,6-B14fluorophenoxy}pyridin-2-yl)oxy|aceticacidethyl (2-{2-chloro-5-[4-(1,1- 2892260-47-6 WO 2023/285222 A1B15difluoroethyl)-3-methyl-2,6-dioxo-3,6-2892260-48-7 WO 2023/285222 A1B16dihydropyrimidin-1(2H)-yl]-4-fluorophenoxy}phenoxy)acetic acid CAS-RN/Common PublicationStructure Name3000495-74-6 WO 2023/197899 A1B11WO 2021/143677 A1B122892260-46-5 WO 2023/285222 A12892260-49-8 WO 2023/285222 A1B142892260-47-6 WO 2023/285222 A1B152892260-48-7 WO 2023/285222 A1B16 - - 72 -CAS-RN/Common Publication(b) Structure Nameethyl (2-{2-chloro-4-fluoro-5-[4-(1- 2892260-50-1 WO 2023/285222 A1B17fluoroethyl)-3-methyl-2,6-dioxo-3,6-dihydropyrimidin-1(2H)-yl|phenoxy}phenoxy)acetate2-methoxyethyl [(3-{2-chloro-5-[4- 2892260-51-2 WO 2023/285222 A1(1,1-difluoroethyl)-3-methyl-2,6-dioxo-B18 3,6-dihydropyrimidin-1(2H)-yl]-4-yl)oxy]acetate2892260-52-3 WO 2023/285222 A1B19fluorophenoxy}pyridin-2-yl)oxy]acetatecyanomethyl [(3-{2-chloro-5-[4-(1,1- 2892260-53-4 WO 2023/285222 A1B20yl)oxy]acetate2892260-54-5 WO 2023/285222 A1difluoroethyl)-3-methyl-2,6-dioxo-3,6-B21ate2892260-55-6 WO 2023/285222 A1difluoroethyl)-3-methyl-2,6-dioxo-3,6-B22 dihydropyrimidin-1(2H)-yl]-4-fluorophenoxy}phenoxy)(methoxy)acetateB232892260-56-7 WO 2023/285222 A1 CAS-RN/Common PublicationStructure Name2892260-50-1 WO 2023/285222 A1B172892260-51-2 WO 2023/285222 A1B182892260-52-3 WO 2023/285222 A1B192892260-53-4 WO 2023/285222 A1B202892260-54-5 WO 2023/285222 A1B21ate2892260-55-6 WO 2023/285222 A1B22ateB232892260-56-7 WO 2023/285222 A1 CAS-RN/Common PublicationStructure Nameacid2892260-57-8 WO 2023/285222 A1B24yl)oxy]acetate2-methoxyethyl [(3-{2-bromo-5-[4- 2892260-58-9 WO 2023/285222 A1(1,1-difluoroethyl)-3-methyl-2,6-dioxo-B25 3,6-dihydropyrimidin-1(2H)-yl]-4-fluorophenoxy}pyridin-2-2892260-59-0 WO 2023/285222 A1B26methyl-2,6-dioxo-3,6-dihydropyrimidin-1(2H)-yl]-4-fluorophenoxy}pyridin-2-2-ethoxy-2-oxoethyl 1-{2-chloro-4- 1101020-13-6 US 6403534 B1B27 (trifluoromethyl)-3,6-dihydropyrimidin-1(2H)-{[(1-{2-chloro-4-fluoro-5-[3-methyl- 1101020-12-5 US 6403534 B1B28acetic acidB292-methoxy-2-oxoethyl 1-{2-chloro-4- 1101021-05-9 US 6403534 B1fluoro-5-[3-methyl-2,6-dioxo-4- CAS-RN/Common PublicationStructure Name2892260-57-8 WO 2023/285222 A1B242892260-58-9 WO 2023/285222 A1B252892260-59-0 WO 2023/285222 A1B261101020-13-6 US 6403534 B1B271101020-12-5 US 6403534 B1B28B291101021-05-9 - I 74CAS-RN/Common Publication(b) Structure Name(trifluoromethyl)-3,6-dihydropyrimidin-1(2H)-1-ethoxy-1-oxopropan-2-yl 1-{2- 3017139-36-2 WO 2023/228935 A1chloro-4-fluoro-5-[3-methyl-2,6-dioxo-B30 4-(trifluoromethyl)-3,6-dihydropyrimidin-1(2H)-2-{[(1-{2-chloro-4-fluoro-5-[3-methyl- 1101021-04-8 US 6403534 B1B31US 6403534 B1chloro-4-fluoro-5-[3-methyl-2,6-dioxo-B32WO 2023/228935 A1{2-chloro-4-fluoro-5-[3-methyl-2,6-B33yl|phenoxy}cyclopropanecarboxylate3017139-38-4 WO 2023/228935 A14-fluoro-5-[3-methyl-2,6-dioxo-4-B34 (trifluoromethyl)-3,6-dihydropyrimidin-1(2H)-B35 WO 2023/228935 Al CAS-RN/Common PublicationStructure Name3017139-36-2 WO 2023/228935 A1B301101021-04-8 US 6403534 B1B31B32WO 2023/228935 A1B333017139-38-4 WO 2023/228935 A1B34B35 WO 2023/228935 Al CAS-RN/CommonStructure Nameyl|phenoxy}cyclopropanecarboxylate
